 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19791104    -0.78    -1.29    -1.15    -0.96    -0.51     0.26     1.09     1.24     0.90     0.24
19791109    -0.45    -0.38    -0.24    -0.07     0.13     0.34     0.42     0.27     0.05    -0.21
19791114    -0.73    -0.35    -0.23     0.21     0.55     0.78     0.63     0.13    -0.30    -0.64
19791119    -0.92    -1.22    -1.13    -0.79    -0.25     0.50     1.17     1.13     0.68    -0.02
19791124     0.54    -0.97    -1.32    -1.80    -1.79    -1.17     0.28     1.45     1.85     1.66
19791129     0.79    -0.22    -0.46    -1.01    -1.25    -1.10    -0.30     0.62     1.12     1.27
19791204     1.47     0.68     0.49    -0.38    -1.08    -1.52    -1.20    -0.22     0.64     1.31
19791209     1.46     1.17     1.05     0.28    -0.50    -1.26    -1.47    -0.83    -0.01     0.83
19791214     0.64     1.22     1.21     1.09     0.66    -0.09    -0.98    -1.24    -0.98    -0.36
19791219    -0.73     0.06     0.17     0.72     1.02     1.00     0.42    -0.36    -0.83    -1.04
19791224    -0.15    -0.40    -0.38    -0.41    -0.30    -0.07     0.27     0.43     0.39     0.20
19791229    -0.08    -0.80    -0.89    -0.99    -0.82    -0.32     0.49     0.96     0.98     0.68
19800103     0.68     0.16    -0.03    -0.40    -0.66    -0.75    -0.45     0.10     0.50     0.74
19800108     0.88     0.86     0.66     0.34    -0.08    -0.59    -0.90    -0.66    -0.23     0.31
19800113     0.44     1.04     0.92     0.93     0.66     0.06    -0.72    -1.03    -0.89    -0.43
19800118    -0.83    -0.33    -0.22     0.28     0.66     0.87     0.64     0.07    -0.42    -0.78
19800123    -0.60    -0.98    -0.98    -0.74    -0.33     0.27     0.86     0.93     0.64     0.14
19800128     0.38    -0.23    -0.37    -0.64    -0.73    -0.60    -0.09     0.43     0.69     0.73
19800202     1.09     1.58     1.53     1.11     0.43    -0.55    -1.45    -1.45    -0.91    -0.06
19800207     0.57     1.64     1.80     1.67     1.13     0.09    -1.25    -1.77    -1.54    -0.81
19800212     0.35     1.16     1.25     1.25     0.91     0.18    -0.83    -1.28    -1.17    -0.67
19800217    -0.51     0.90     1.07     1.60     1.66     1.13    -0.17    -1.28    -1.68    -1.55
19800222    -0.19     0.68     0.80     1.06     1.02     0.60    -0.26    -0.90    -1.08    -0.91
19800227    -0.72    -0.48    -0.39     0.00     0.36     0.66     0.67     0.29    -0.11    -0.49
19800304    -0.07    -0.53    -0.61    -0.65    -0.52    -0.18     0.34     0.63     0.63     0.42
19800309     0.73    -0.73    -0.99    -1.63    -1.79    -1.35    -0.02     1.22     1.75     1.70
19800314     1.69     0.50     0.08    -0.88    -1.56    -1.85    -1.16     0.13     1.10     1.76
19800319     2.15     2.00     1.73     0.69    -0.47    -1.71    -2.29    -1.53    -0.37     0.94
19800324     2.44     2.23     1.98     0.78    -0.54    -1.93    -2.59    -1.72    -0.40     1.09
19800329     1.20     2.37     2.28     2.03     1.23    -0.18    -1.89    -2.39    -1.90    -0.73
19800403    -0.60     1.15     1.41     2.07     2.12     1.44    -0.24    -1.66    -2.16    -1.94
19800408    -1.29    -0.43    -0.34     0.54     1.17     1.48     1.01     0.00    -0.80    -1.33
19800413    -1.02    -1.92    -1.93    -1.66    -0.96     0.20     1.57     1.92     1.49     0.52
